leg	site	hole	core	section	top of sampled interval (cm)	bottom of sampled interval(cm)	depth to core (m)	depth to sample (m)	card type	card number	pH electrode type	pH	alkalinity measurement type	alkalinity	salinity	data field #1	data field #2	data field #3	data field #4	data field #5	data field #6	reference
42	374		8	2	140.0	150.0	349.50	352.45	DATA CARD	3											686.00	42A22
42	374		9	3	140.0	150.0	359.00	363.45	DATA CARD	1	COMBINATION	5.90	COLORIMETRIC	3.0	371.8	477.00	1597.8	162.00				LABNB
42	374		9	3	140.0	150.0	359.00	363.45	DATA CARD	1						454.00	160.00	46.90	2.34		52.00	42A22
42	374		9	3	140.0	150.0	359.00	363.45	DATA CARD	2						2.00	68.00					42A22
42	374		11	2	22.0	23.0	378.00	379.73	DATA CARD	1						300.00	194.00	47.40				42A22
42	374		11	2	22.0	23.0	378.00	379.73	DATA CARD	2									26.40			42A22
42	374		11	2	86.0	87.0	378.00	380.37	DATA CARD	1						286.00	215.00	46.20				42A22
42	374		12	1			381.50	381.50	DATA CARD	1						176.00	221.00	47.30				42A22
42	374		12	1			381.50	381.50	DATA CARD	2									41.60			42A22
42	374		12	2			381.50	383.00	DATA CARD	1						87.00	228.00	47.70				42A22
42	374		12	2			381.50	383.00	DATA CARD	2									44.60			42A22
42	374		13	1	140.0	150.0	387.50	388.95	DATA CARD	1	COMBINATION	5.60	COLORIMETRIC	3.5	387.2	25.50	2161.8	165.34				LABNB
42	374		13	1	140.0	150.0	387.50	388.95	DATA CARD	1						24.10	214.00	47.90	2.00		110.00	42A22
42	374		13	1	140.0	150.0	387.50	388.95	DATA CARD	2						0.30	40.00		47.20			42A22
42	374		13	1	140.0	150.0	387.50	388.95	DATA CARD	3											519.00	42A22
42	374		13	3	0.0	10.0	387.50	390.55	DATA CARD	1			COLORIMETRIC	0.0	290.1	10.80	1427.5	112.00				LABNB
42	374		14	1	140.0	150.0	392.50	393.95	DATA CARD	1						9.70	225.00	49.50	1.77		130.00	42A22
42	374		14	1	140.0	150.0	392.50	393.95	DATA CARD	1	COMBINATION	5.30	COLORIMETRIC	5.0	407.0	10.30	2267.8	170.84				LABNB
42	374		14	1	140.0	150.0	392.50	393.95	DATA CARD	2						0.16	43.00		90.00			42A22
42	374		14	1	140.0	150.0	392.50	393.95	DATA CARD	3											572.00	42A22
42	374		15	1	140.0	150.0	397.00	398.45	DATA CARD	1	COMBINATION	5.30	COLORIMETRIC	5.0	462.0	10.30	2270.6	173.30				LABNB
42	374		15	1	140.0	150.0	397.00	398.45	DATA CARD	1						9.70	225.00	50.20	1.35		190.00	42A22
42	374		15	1	140.0	150.0	397.00	398.45	COMMENT CARD	1		SAMPL		SCOR	ES5-	15HAD	MAGNE	SIUMV	ALUES	OFFSC	ALEON	42A22
42	374		15	1	140.0	150.0	397.00	398.45	COMMENT CARD	1		THIS		ORMD	UETO	EXTRE	MELYH	IGHVA	LUES.			42A22
42	374		15	1	140.0	150.0	397.00	398.45	DATA CARD	2						0.14	49.00		95.80			42A22
42	374		15	1	140.0	150.0	397.00	398.45	DATA CARD	3											640.00	42A22
42	374		SSW				0.00	0.00	DATA CARD	1	COMBINATION	8.08	COLORIMETRIC	2.6	38.5	11.19	60.44	21.27				LABNB
42	375		5	3	140.0	150.0	360.00	364.89	DATA CARD	1						11.60	2.54	5.90			75.00	42A22
42	375		5	3	140.0	150.0	360.00	364.89	DATA CARD	1	COMBINATION	7.95	COLORIMETRIC	3.7	33.0	12.26	25.33	20.36				LABNB
42	375		5	3	140.0	150.0	360.00	364.89	DATA CARD	2						0.24	1.60					42A22
42	375		6	5	140.0	150.0	461.00	468.45	DATA CARD	1				3.3	31.9	13.04	18.17	19.44				LABNB
42	375		7	5	140.0	150.0	565.00	572.85	DATA CARD	1						11.80	1.80	5.50			64.00	42A22
42	375		7	5	140.0	150.0	565.00	572.85	DATA CARD	1	COMBINATION	8.10	COLORIMETRIC	3.8	31.6	12.55	17.93	19.05				LABNB
42	375		7	5	140.0	150.0	565.00	572.85	DATA CARD	2						0.28	3.80					42A22
42	375		8	5	140.0	150.0	622.00	629.88	DATA CARD	1					28.6	14.21	17.28	17.08				LABNB
42	375		SSW				0.00	0.00	DATA CARD	1	COMBINATION	8.09	COLORIMETRIC	2.6	38.5	11.38	58.83	21.41				LABNB
42	376		1	4	144.0	150.0	0.00	5.97	DATA CARD	1						9.90	5.73	6.14			330.00	42A22
42	376		1	4	144.0	150.0	0.00	5.97	DATA CARD	1	COMBINATION	8.00			38.5	10.50	57.48	21.25				LABNB
42	376		1	4	144.0	150.0	0.00	5.97	DATA CARD	2						0.14	10.20					42A22
42	376		5	4	144.0	150.0	36.00	41.97	DATA CARD	1	COMBINATION	7.70	COLORIMETRIC	3.1	38.0	11.29	54.98	21.05				LABNB
42	376		5	4	144.0	150.0	36.00	41.97	DATA CARD	1						10.70	5.49	6.08			150.00	42A22
42	376		5	4	144.0	150.0	36.00	41.97	DATA CARD	2						0.16	8.60					42A22
42	376		9	3	144.0	150.0	74.00	78.47	DATA CARD	1	COMBINATION	7.60	COLORIMETRIC	1.5	38.5	16.34	55.37	20.91				LABNB
42	376		9	3	144.0	150.0	74.00	78.47	DATA CARD	1						15.40	5.55	6.04			310.00	42A22
42	376		9	3	144.0	150.0	74.00	78.47	DATA CARD	2						0.18	7.30					42A22
42	376		12	3	140.0	150.0	102.50	106.95	DATA CARD	1	COMBINATION	7.60	COLORIMETRIC	1.3	38.5	24.34	52.54	20.71				LABNB
42	376		12	3	140.0	150.0	102.50	106.95	DATA CARD	1						23.10	5.29	5.99			500.00	42A22
42	376		12	3	140.0	150.0	102.50	106.95	DATA CARD	2						0.20	8.50					42A22
42	376		13	2	140.0	150.0	112.00	114.95	DATA CARD	1	COMBINATION	7.70	COLORIMETRIC	1.4	38.5	27.68	53.22	20.78				LABNB
42	376		13	2	140.0	150.0	112.00	114.95	DATA CARD	1						26.30	5.37	6.01			530.00	42A22
42	376		13	2	140.0	150.0	112.00	114.95	DATA CARD	2						0.22	7.40					42A22
42	376		15	2	140.0	150.0	131.00	133.95	DATA CARD	1	COMBINATION	7.80	COLORIMETRIC	0.6	42.4	38.32	55.76	21.78				LABNB
42	376		15	2	140.0	150.0	131.00	133.95	DATA CARD	1						36.30	5.66	6.29			190.00	42A22
42	376		15	2	140.0	150.0	131.00	133.95	DATA CARD	2						0.37	7.80					42A22
42	376		SSW				0.00	0.00	DATA CARD	1	COMBINATION	8.00	COLORIMETRIC	2.6	39.0	11.83	94.45	21.45				LABNB
42	377		1	1	140.0	150.0	190.50	191.95	DATA CARD	1						6.60	3.81	6.53			230.00	42A22
42	377		1	1	140.0	150.0	190.50	191.95	DATA CARD	1	COMBINATION	7.40	COLORIMETRIC	5.3	37.4	7.12	38.34	22.58				LABNB
42	377		1	1	140.0	150.0	190.50	191.95	DATA CARD	2						0.18	6.40					42A22
42	377		SSW				0.00	0.00	DATA CARD	1	COMBINATION	8.10	COLORIMETRIC	2.7	38.5	11.53	60.04	21.78				LABNB
42	378		1	2	0.0	6.0	84.00	85.53	DATA CARD	1						9.90	3.47	6.06			360.00	42A22
42	378		1	2	0.0	6.0	84.00	85.53	DATA CARD	2						0.64	7.70		10.00			42A22
42	378		1	2	0.0	6.0	84.00	85.53	DATA CARD	3											531.00	42A22
42	378		1	2	0.0	6.0	84.00	85.53	DATA CARD	1	COMBINATION	7.50	COLORIMETRIC	3.4	35.2	10.94	37.97	20.97				LABNB
42	378		5	1	140.0	150.0	122.00	123.45	DATA CARD	1						12.20	3.59	6.14			760.00	42A22
42	378		5	1	140.0	150.0	122.00	123.45	DATA CARD	1	COMBINATION	7.30	COLORIMETRIC	3.5	36.3	13.29	40.92	21.26				LABNB
42	378		5	1	140.0	150.0	122.00	123.45	DATA CARD	2						0.69	7.00		14.60			42A22
42	378		5	1	140.0	150.0	122.00	123.45	DATA CARD	3											542.00	42A22
42	378		7	4	140.0	150.0	169.50	175.45	DATA CARD	1	COMBINATION	7.50	COLORIMETRIC	1.9	35.8	15.11	36.09	20.91				LABNB
42	378		7	4	140.0	150.0	169.50	175.45	DATA CARD	1						13.80	3.54	6.04			530.00	42A22
42	378		7	4	140.0	150.0	169.50	175.45	DATA CARD	2						0.77	6.60		11.70			42A22
42	378		7	4	140.0	150.0	169.50	175.45	DATA CARD	3											523.00	42A22
42	378		8	1	0.0	10.0	217.00	217.05	DATA CARD	1						14.00	3.54	6.04			970.00	42A22
42	378		8	1	0.0	10.0	217.00	217.05	DATA CARD	2						0.79	6.60		12.20			42A22
42	378		8	1	0.0	10.0	217.00	217.05	DATA CARD	3											524.00	42A22
42	378		8	1	0.0	10.0	217.00	217.05	DATA CARD	1	COMBINATION	7.20	COLORIMETRIC	2.7	35.8	15.26	37.23	20.91				LABNB
42	378		11	3	140.0	150.0	302.50	306.95	DATA CARD	1						38.30	4.21	6.04			190.00	42A22
42	378		11	3	140.0	150.0	302.50	306.95	DATA CARD	1	COMBINATION	7.60	COLORIMETRIC	0.6	41.2	40.53	44.66	20.91				LABNB
42	378		11	3	140.0	150.0	302.50	306.95	DATA CARD	2						0.51	7.30		45.00			42A22
42	378		11	3	140.0	150.0	302.50	306.95	DATA CARD	3											526.00	42A22
42	378		SSW				0.00	0.00	DATA CARD	1	COMBINATION	8.10	COLORIMETRIC	2.6	39.0	11.43	60.70	22.38				LABNB
42	378	A	1	2	140.0	150.0	46.00	48.95	DATA CARD	1						6.80	3.60	6.16			360.00	42A22
42	378	A	1	2	140.0	150.0	46.00	48.95	DATA CARD	1	COMBINATION	7.50	COLORIMETRIC	4.2	36.3	7.41	44.94	21.31				LABNB
42	378	A	1	2	140.0	150.0	46.00	48.95	DATA CARD	2						0.33	8.50		15.70			42A22
42	378	A	1	2	140.0	150.0	46.00	48.95	DATA CARD	3											557.00	42A22
42	378	A	3	5	140.0	150.0	293.00	300.87	DATA CARD	1	COMBINATION	7.70	COLORIMETRIC	0.6	40.7	40.53	43.66	21.31				LABNB
42	378	A	3	5	140.0	150.0	293.00	300.87	DATA CARD	1						38.30	4.16	6.16			150.00	42A22
42	378	A	3	5	140.0	150.0	293.00	300.87	COMMENT CARD	1		ENDC		EM-DA	TALE	G42A						42A22
42	378	A	3	5	140.0	150.0	293.00	300.87	DATA CARD	2						0.50	8.50		44.20			42A22
42	378	A	3	5	140.0	150.0	293.00	300.87	DATA CARD	3											536.00	42A22
42	379	A	1	3	140.0	150.0	0.00	4.45	DATA CARD	1						5.26	22.81	11.30				42B23
42	379	A	1	3	144.0	150.0	0.00	4.47	DATA CARD	1	COMBINATION	7.76	COLORIMETRIC	17.9	20.2	5.22	22.60	11.44				LABNB
42	379	A	4	3	140.0	150.0	26.00	30.45	DATA CARD	1						3.32	7.62	2.65	1.20			42B23
42	379	A	4	3	140.0	150.0	26.00	30.45	DATA CARD	2							0.71		7.28			42B23
42	379	A	4	3	140.0	150.0	26.00	30.45	DATA CARD	3											66.30	42B23
42	379	A	4	3	144.0	150.0	26.00	30.47	DATA CARD	1	COMBINATION	7.81	COLORIMETRIC	13.2	5.3	3.25	20.20	2.70				LABNB
42	379	A	7	3	140.0	150.0	54.50	58.95	DATA CARD	1						16.16	11.07	3.28	1.20		226.46	42B23
42	379	A	7	3	140.0	150.0	54.50	58.95	DATA CARD	1	COMBINATION	7.69	COLORIMETRIC	15.4	7.5	15.85	9.50	3.70				LABNB
42	379	A	7	3	140.0	150.0	54.50	58.95	DATA CARD	2							1.13		1.05			42B23
42	379	A	7	3	140.0	150.0	54.50	58.95	DATA CARD	3											80.10	42B23
42	379	A	12	2	140.0	150.0	102.00	104.95	DATA CARD	1	COMBINATION	8.05	COLORIMETRIC	10.2	6.1	7.85	6.60	3.60				LABNB
42	379	A	12	2	140.0	150.0	102.00	104.95	DATA CARD	1						8.04	7.24	3.24	1.81			42B23
42	379	A	12	2	140.0	150.0	102.00	104.95	DATA CARD	2							1.10		0.59			42B23
42	379	A	12	2	140.0	150.0	102.00	104.95	DATA CARD	3											70.75	42B23
42	379	A	17	1	140.0	150.0	149.50	150.95	DATA CARD	1						5.77	11.11	2.61	2.41			42B23
42	379	A	17	1	140.0	150.0	149.50	150.95	DATA CARD	2							1.39		0.84			42B23
42	379	A	17	1	140.0	150.0	149.50	150.95	DATA CARD	3											63.19	42B23
42	379	A	17	1	148.0	150.0	149.50	150.99	DATA CARD	1	COMBINATION	8.14	COLORIMETRIC	23.5	6.0	5.69	11.20	2.80				LABNB
42	379	A	19	5	140.0	150.0	168.50	175.95	DATA CARD	1						5.10	7.03	2.00	2.41			42B23
42	379	A	19	5	140.0	150.0	168.50	175.95	DATA CARD	1	COMBINATION	7.95	COLORIMETRIC	10.2	4.4	5.00	7.30	2.60				LABNB
42	379	A	19	5	140.0	150.0	168.50	175.95	DATA CARD	2							0.99		0.32			42B23
42	379	A	19	5	140.0	150.0	168.50	175.95	DATA CARD	3											41.16	42B23
42	379	A	21	5	140.0	150.0	187.50	195.30	DATA CARD	1	COMBINATION	7.78	COLORIMETRIC	10.2	5.3	7.36	6.70	2.80				LABNB
42	379	A	21	5	140.0	150.0	187.50	195.30	DATA CARD	1						7.53	5.93	1.96	2.29		447.82	42B23
42	379	A	21	5	140.0	150.0	187.50	195.30	DATA CARD	2							0.97		2.65			42B23
42	379	A	21	5	140.0	150.0	187.50	195.30	DATA CARD	3											42.09	42B23
42	379	A	23	5	137.0	150.0	206.50	213.93	DATA CARD	1	COMBINATION	8.04	COLORIMETRIC	10.5	4.1	4.02	6.60	2.40				LABNB
42	379	A	23	5	137.0	150.0	206.50	213.93	DATA CARD	1						4.11	6.35	1.75	2.41			42B23
42	379	A	23	5	137.0	150.0	206.50	213.93	DATA CARD	2							1.02		0.28			42B23
42	379	A	23	5	137.0	150.0	206.50	213.93	DATA CARD	3											37.42	42B23
42	379	A	25	5	139.0	150.0	225.50	232.95	DATA CARD	1	COMBINATION	8.02	COLORIMETRIC	11.2	4.0	3.68	7.95	2.20				LABNB
42	379	A	25	5	139.0	150.0	225.50	232.95	DATA CARD	1						3.75	8.12	2.19				42B23
42	379	A	27	4	140.0	150.0	244.50	250.45	DATA CARD	1	COMBINATION	8.18	COLORIMETRIC	3.1	4.1	4.80	6.60	2.40				LABNB
42	379	A	27	4	140.0	150.0	244.50	250.45	DATA CARD	1						4.90	7.57	1.87	3.25			42B23
42	379	A	27	4	140.0	150.0	244.50	250.45	DATA CARD	2							1.02		0.32			42B23
42	379	A	27	4	140.0	150.0	244.50	250.45	DATA CARD	3											44.05	42B23
42	379	A	29	4	140.0	150.0	263.50	269.45	DATA CARD	1	COMBINATION	8.10	COLORIMETRIC	6.8	5.5	9.72	10.40	3.40				LABNB
42	379	A	29	4	140.0	150.0	263.50	269.45	DATA CARD	1						9.93	12.75	3.00	3.13			42B23
42	379	A	29	4	140.0	150.0	263.50	269.45	DATA CARD	2							0.94		1.11			42B23
42	379	A	29	4	140.0	150.0	263.50	269.45	DATA CARD	3											46.28	42B23
42	379	A	31	2	140.0	150.0	282.50	285.45	DATA CARD	1	COMBINATION	7.91	COLORIMETRIC	3.1	12.1	20.12	22.20	6.70				LABNB
42	379	A	34	5	140.0	150.0	311.00	318.85	DATA CARD	1						16.77	15.40	3.67	3.13			42B23
42	379	A	34	5	140.0	150.0	311.00	318.85	DATA CARD	1	COMBINATION	7.82	COLORIMETRIC	5.5	7.1	16.44	17.61	4.37				LABNB
42	379	A	34	5	140.0	150.0	311.00	318.85	DATA CARD	2							0.84		1.78			42B23
42	379	A	34	5	140.0	150.0	311.00	318.85	DATA CARD	3											46.28	42B23
42	379	A	36	3	140.0	150.0	330.00	334.45	DATA CARD	1	COMBINATION	7.73	COLORIMETRIC	3.1	7.2	15.90	12.89	4.17				LABNB
42	379	A	36	3	140.0	150.0	330.00	334.45	DATA CARD	1						16.16	14.27	4.15	3.25			42B23
42	379	A	36	3	140.0	150.0	330.00	334.45	DATA CARD	2							0.99		1.68			42B23
42	379	A	36	3	140.0	150.0	330.00	334.45	DATA CARD	3											60.96	42B23
42	379	A	38	7	0.0	10.0	349.00	358.40	DATA CARD	1						19.02	14.52	4.03				42B23
42	379	A	38	7	0.0	10.0	349.00	358.40	DATA CARD	1	COMBINATION	7.80	COLORIMETRIC	1.7	6.5	18.65	14.26	4.04				LABNB
42	379	A	40	3	140.0	150.0	368.00	372.65	DATA CARD	1						22.15	14.56	3.62	2.65			42B23
42	379	A	40	3	140.0	150.0	368.00	372.65	DATA CARD	1	COMBINATION	7.86	COLORIMETRIC	1.9	7.3	21.69	17.46	4.58				LABNB
42	379	A	40	3	140.0	150.0	368.00	372.65	DATA CARD	2							0.71		4.33			42B23
42	379	A	40	3	140.0	150.0	368.00	372.65	DATA CARD	3											38.00	42B23
42	379	A	43	2	140.0	150.0	387.00	390.27	DATA CARD	1	COMBINATION	7.76	COLORIMETRIC	1.2	10.3	27.53	20.70	5.92				LABNB
42	379	A	43	2	140.0	150.0	387.00	390.27	DATA CARD	1						28.08	21.88	5.19	3.01		148.82	42B23
42	379	A	43	2	140.0	150.0	387.00	390.27	DATA CARD	2							0.94		1.03			42B23
42	379	A	43	2	140.0	150.0	387.00	390.27	DATA CARD	3											48.95	42B23
42	379	A	45	2	140.0	150.0	406.00	408.95	DATA CARD	1	COMBINATION	7.58	COLORIMETRIC	1.7	11.3	33.47	27.81	6.32				LABNB
42	379	A	45	2	140.0	150.0	406.00	408.95	DATA CARD	1						33.95	25.21	5.92	3.61			42B23
42	379	A	45	2	140.0	150.0	406.00	408.95	DATA CARD	2							0.92		8.83			42B23
42	379	A	45	2	140.0	150.0	406.00	408.95	DATA CARD	3											67.64	42B23
42	379	A	47	3	140.0	150.0	425.00	429.75	DATA CARD	1	COMBINATION	7.98	COLORIMETRIC	3.9	14.3	44.36	35.10	7.80				LABNB
42	379	A	47	3	140.0	150.0	425.00	429.75	DATA CARD	1						45.18	33.45	7.42	4.39			42B23
42	379	A	47	3	140.0	150.0	425.00	429.75	DATA CARD	2							0.86		1.20			42B23
42	379	A	47	3	140.0	150.0	425.00	429.75	DATA CARD	3											57.85	42B23
42	379	A	49	4	140.0	150.0	444.00	450.30	DATA CARD	1	COMBINATION	7.81	COLORIMETRIC	1.8	17.6	53.58	41.74	9.42				LABNB
42	379	A	49	4	140.0	150.0	444.00	450.30	DATA CARD	1						54.11	42.50	9.06	4.03			42B23
42	379	A	49	4	140.0	150.0	444.00	450.30	DATA CARD	2							0.92		0.37			42B23
42	379	A	49	4	140.0	150.0	444.00	450.30	DATA CARD	3											67.19	42B23
42	379	A	51	1	140.0	150.0	463.00	464.80	DATA CARD	1	COMBINATION	7.75	COLORIMETRIC	1.6	19.8	60.45	48.48	11.03				LABNB
42	379	A	51	1	140.0	150.0	463.00	464.80	DATA CARD	1						60.75	47.55	10.70	3.37			42B23
42	379	A	51	1	140.0	150.0	463.00	464.80	DATA CARD	2							1.41		1.09			42B23
42	379	A	51	1	140.0	150.0	463.00	464.80	DATA CARD	3											91.67	42B23
42	379	A	54	7	0.0	10.0	491.50	500.55	DATA CARD	1						74.79	60.60	12.90	4.45			42B23
42	379	A	54	7	0.0	10.0	491.50	500.55	DATA CARD	2							1.44		3.57			42B23
42	379	A	54	7	0.0	10.0	491.50	500.55	DATA CARD	3											105.01	42B23
42	379	A	54	7	0.0	10.0	491.50	500.55	DATA CARD	1	COMBINATION	7.70	COLORIMETRIC	1.8	24.2	74.19	60.28	13.12				LABNB
42	379	A	56	6	140.0	150.0	510.50	519.45	DATA CARD	1						85.51	69.01	15.40	4.21			42B23
42	379	A	56	6	140.0	150.0	510.50	519.45	DATA CARD	1	COMBINATION	7.76	COLORIMETRIC	1.4	28.6	84.60	68.59	15.61				LABNB
42	379	A	56	6	140.0	150.0	510.50	519.45	DATA CARD	2							1.67		0.97			42B23
42	379	A	56	6	140.0	150.0	510.50	519.45	DATA CARD	3											131.27	42B23
42	379	A	58	3	140.0	150.0	529.50	533.95	DATA CARD	1			COLORIMETRIC	0.9	30.3	95.19	72.19	16.89				LABNB
42	379	A	58	3	140.0	150.0	529.50	533.95	DATA CARD	1			COLORIMETRIC	0.0		96.37	71.56	17.15				LABNB
42	379	A	58	3	140.0	150.0	529.50	533.95	COMMENT CARD	1		WARM		QUEEZ	E;OTH	ERSQU	EEZEW	ASCOL	DAT7	DEGREE	SCENT	LABNB
42	379	A	60	3	140.0	150.0	548.50	552.95	DATA CARD	1	COMBINATION	7.59	COLORIMETRIC	0.7	32.0	97.35	76.84	17.76				LABNB
42	379	A	63	CC			567.50	567.60	DATA CARD	1			COLORIMETRIC	0.8	32.1	94.21	73.03	17.02				LABNB
42	379	A	64	4	128.0	138.0	577.00	582.83	DATA CARD	1						114.09	65.65	19.70	4.57		144.73	42B23
42	379	A	64	4	128.0	138.0	577.00	582.83	DATA CARD	1	COMBINATION	7.60	COLORIMETRIC	1.3	36.6	113.65	65.50	19.71				LABNB
42	379	A	64	4	128.0	138.0	577.00	582.83	DATA CARD	2							1.20		4.06			42B23
42	379	A	64	4	128.0	138.0	577.00	582.83	DATA CARD	3											212.25	42B23
42	379	A	65	6	143.0	146.0	586.50	595.85	DATA CARD	1					38.5	116.98	82.17	20.79				LABNB
42	379	A	65	6	143.0	146.0	586.50	595.85	DATA CARD	1						116.64	82.48	20.30				42B23
42	379	A	66	3	0.0	10.0	596.00	599.05	DATA CARD	1						121.75	85.85	21.00	4.81			42B23
42	379	A	66	3	0.0	10.0	596.00	599.05	DATA CARD	2							1.26		1.98			42B23
42	379	A	66	3	0.0	10.0	596.00	599.05	DATA CARD	3											189.56	42B23
42	379	A	66	3	0.0	10.0	596.00	599.05	DATA CARD	1			COLORIMETRIC	7.8	39.6	121.69	85.97	20.92				LABNB
42	379	A	68	4	140.0	150.0	615.00	620.95	DATA CARD	1			COLORIMETRIC	0.7	38.5	119.73	83.39	20.72				LABNB
42	379	A	SSW				0.00	0.00	DATA CARD	1	COMBINATION	8.27	COLORIMETRIC	3.2	18.1	6.28	28.50	10.50				LABNB
42	379	B	3	1	145.0	150.0	16.50	17.98	DATA CARD	1	COMBINATION	7.02	COLORIMETRIC	9.7	5.6	7.50	10.66	3.03				LABNB
42	379	B	4	1	140.0	150.0	45.00	46.45	DATA CARD	1	COMBINATION	7.63	COLORIMETRIC	24.2	5.8	8.05	11.24	3.43				LABNB
42	379	B	4	4	144.0	150.0	45.00	50.97	DATA CARD	1	COMBINATION	7.59	COLORIMETRIC	17.8	6.2	3.34	15.95	3.97				LABNB
42	379	B	5	2	144.0	150.0	73.50	76.47	DATA CARD	1	COMBINATION	8.27	COLORIMETRIC	0.0	7.8	19.82	15.35	7.06				LABNB
42	379	B	6	4	0.0	10.0	92.50	97.05	DATA CARD	1	COMBINATION	7.78	COLORIMETRIC	21.1	6.8							LABNB
42	380		1	5	140.0	150.0	0.00	7.45	DATA CARD	1						32.42	22.72	9.66				42B23
42	380		1	5	140.0	150.0	0.00	7.45	DATA CARD	1	COMBINATION	6.85		3.5	16.5	31.99	22.48	9.76				LABNB
42	380		4	3	140.0	150.0	28.50	32.95	DATA CARD	1						27.57	67.33	11.90	2.41			42B23
42	380		4	3	140.0	150.0	28.50	32.95	DATA CARD	1	COMBINATION	8.03		85.5	23.1	27.28	66.38	12.38				LABNB
42	380		4	3	140.0	150.0	28.50	32.95	DATA CARD	2							2.64		0.86			42B23
42	380		4	3	140.0	150.0	28.50	32.95	DATA CARD	3											154.41	42B23
42	380		6	3	140.0	150.0	47.50	51.95	DATA CARD	1	COMBINATION	7.14		38.9	31.9	34.74	88.95	17.16				LABNB
42	380		6	3	140.0	150.0	47.50	51.95	DATA CARD	1						34.97	94.26	16.70	3.01		813.90	42B23
42	380		6	3	140.0	150.0	47.50	51.95	DATA CARD	2							5.73		0.71			42B23
42	380		6	3	140.0	150.0	47.50	51.95	DATA CARD	3											214.92	42B23
42	380		9	1	142.0	144.0	76.00	77.43	DATA CARD	1	COMBINATION	7.23		5.7	40.2	56.33	93.46	22.87				LABNB
42	380		9	1	142.0	150.0	76.00	77.46	DATA CARD	1						56.15	93.00	22.30				42B23
42	380		10	3	140.0	150.0	85.50	89.95	DATA CARD	1	COMBINATION	7.05		7.1	36.7	50.64	81.56					LABNB
42	380		10	3	140.0	150.0	85.50	89.95	DATA CARD	1						50.79	85.00	20.30	6.98			42B23
42	380		10	3	140.0	150.0	85.50	89.95	DATA CARD	2							3.66		3.10			42B23
42	380		10	3	140.0	150.0	85.50	89.95	DATA CARD	3											318.16	42B23
42	380		12	CC			104.50	106.10	DATA CARD	1				0.0	41.0	50.64						LABNB
42	380		12	CC			104.50	106.10	DATA CARD	1						50.54						42B23
42	380		15	2	140.0	150.0	133.00	136.25	DATA CARD	1	COMBINATION	7.30		4.1	41.2	53.58						LABNB
42	380		15	2	140.0	150.0	133.00	136.25	DATA CARD	1						53.09						42B23
42	380		17	2	140.0	150.0	152.00	154.95	DATA CARD	1	COMBINATION	7.08		2.1	51.4	69.87	94.67	28.93				LABNB
42	380		17	2	140.0	150.0	152.00	154.95	DATA CARD	1						69.17	97.63	28.10	7.22		539.77	42B23
42	380		17	2	140.0	150.0	152.00	154.95	DATA CARD	2							5.47		2.59			42B23
42	380		17	2	140.0	150.0	152.00	154.95	DATA CARD	3											471.67	42B23
42	380		19	5	140.0	150.0	171.00	178.45	DATA CARD	1				0.0	45.0							LABNB
42	380		21	3	140.0	150.0	190.00	194.45	DATA CARD	1						64.32	98.05	27.20	7.22		169.42	42B23
42	380		21	3	140.0	150.0	190.00	194.45	DATA CARD	1	COMBINATION	7.40		6.6	48.0	64.77						LABNB
42	380		21	3	140.0	150.0	190.00	194.45	DATA CARD	2							4.42		4.68			42B23
42	380		21	3	140.0	150.0	190.00	194.45	DATA CARD	3											462.78	42B23
42	380		23	6	0.0	10.0	209.00	216.85	DATA CARD	1						79.38	127.09	31.80	7.22			42B23
42	380		23	6	0.0	10.0	209.00	216.85	DATA CARD	2							2.77		0.24			42B23
42	380		23	6	0.0	10.0	209.00	216.85	DATA CARD	3											498.37	42B23
42	380		23	6	0.0	10.0	209.00	216.85	DATA CARD	1	COMBINATION	7.20		2.4	56.7	80.28	123.98	32.90				LABNB
42	380		25	3	140.0	150.0	228.00	232.75	DATA CARD	1						43.90						42B23
42	380		25	3	140.0	150.0	228.00	232.75	DATA CARD	1	COMBINATION	7.08		2.6	40.7	44.16						LABNB
42	380		27	3	0.0	10.0	247.00	250.05	DATA CARD	1						65.34	136.34	32.90	7.28		88.03	42B23
42	380		27	3	0.0	10.0	247.00	250.05	DATA CARD	2							3.22		1.34			42B23
42	380		27	3	0.0	10.0	247.00	250.05	DATA CARD	3											538.42	42B23
42	380		27	3	0.0	10.0	247.00	250.05	DATA CARD	1	COMBINATION	7.50		2.7	57.2	66.34	124.77	33.64				LABNB
42	380		29	1	140.0	150.0	266.00	267.45	DATA CARD	1						59.22	117.83	33.10				42B23
42	380		29	1	140.0	150.0	266.00	267.45	DATA CARD	1	COMBINATION	7.15		12.6	58.3	60.06	119.80	34.31				LABNB
42	380		31	1	140.0	150.0	285.00	286.45	DATA CARD	1						60.24	110.25	34.90	9.93		395.03	42B23
42	380		31	1	140.0	150.0	285.00	286.45	DATA CARD	1	COMBINATION	7.00		6.9	62.0	61.45	106.50	35.32				LABNB
42	380		31	1	140.0	150.0	285.00	286.45	DATA CARD	2							6.91		1.09			42B23
42	380		31	1	140.0	150.0	285.00	286.45	DATA CARD	3											658.56	42B23
42	380		33	3	141.0	144.0	304.00	308.43	DATA CARD	1	COMBINATION	7.09		12.5	62.2	61.43	96.87	36.00				LABNB
42	380		33	3	141.0	144.0	304.00	308.43	DATA CARD	1						60.24	95.10	34.60				42B23
